Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Image
21535019,"The Long Haul (Diary of a Wimpy Kid, #9)",Jeff Kinney,"Kinney, Jeff",,141971189X,9781419711893,5,Amulet Books,Hardcover,217,2014,2014,,2023/07/02,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1609096272i/21535019.jpg
61206869,Foster,Claire Keegan,"Keegan, Claire",,802160158,9780802160157,5,Grove Press,Kindle Edition,62,2022,2010,2023/07/05,2023/07/03,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1654088596i/61206869.jpg
28449257,The Wonder,Emma Donoghue,"Donoghue, Emma",,316393878,9780316393874,3,"Little, Brown and Company",Hardcover,291,2016,2016,2023/07/03,2023/07/03,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1463229441i/28449257.jpg
19318837,"The Third Wheel (Diary of a Wimpy Kid, #7)",Jeff Kinney,"Kinney, Jeff",,,,5,Amulet Books,Kindle Edition,226,2012,2012,1996/07/03,2023/07/03,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1386627778i/19318837.jpg
56817365,The Last Cuentista,Donna Barba Higuera,"Higuera, Donna Barba",,1646140893,9781646140893,4,Levine Querido,Hardcover,320,2021,2021,2023/08/02,2023/07/08,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1618183542i/56817365.jpg
58957615,"The Bullet That Missed (Thursday Murder Club, #3)",Richard Osman,"Osman, Richard",,241512425,9780241512425,3,Viking,Hardcover,413,2022,2022,2023/07/08,2023/07/08,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1649424135i/58957615.jpg
76802,Godric,Frederick Buechner,"Buechner, Frederick",,60611626,9780060611620,5,HarperOne,Paperback,178,1983,1980,2023/07/10,2023/07/10,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1511047638i/76802.jpg
13098662,"Cabin Fever (Diary of a Wimpy Kid, #6)",Jeff Kinney,"Kinney, Jeff",,,,5,Amulet Books,Kindle Edition,226,2012,2011,1984/07/10,2023/07/10,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1364117257i/13098662.jpg
24863828,The Complete Big Nate: #6 (amp! Comics for Kids),Lincoln Peirce,"Peirce, Lincoln",,1449467504,9781449467500,5,Andrews McMeel Publishing,Kindle Edition,370,2015,2015,1965/07/25,2023/07/25,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1441315373i/24863828.jpg
180357146,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,802162177,9780802162175,3,Grove Press,Paperback,715,2025,2023,2023/07/28,2023/07/28,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1687600746i/180357146.jpg
62925087,A Good House for Children,Kate   Collins,"Collins, Kate",,63291029,9780063291027,2,Mariner Books,Hardcover,336,2023,2023,2023/07/30,2023/07/30,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1681796817i/62925087.jpg
41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,553803700,9780553803709,3,Bantam Books,Hardcover,224,2004,1950,2023/08/04,2023/08/04,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1609035271i/41804.jpg
62703226,The Only One Left,Riley Sager,"Sager, Riley",,593183223,9780593183229,2,Dutton,Hardcover,383,2023,2023,2023/09/16,2023/08/05,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1668181003i/62703226.jpg
62919409,How to Stay Married: The Most Insane Love Story Ever Told,Harrison Scott Key,"Key, Harrison Scott",,1668015501,9781668015506,5,Avid Reader Press / Simon & Schuster,Hardcover,320,2023,2023,2023/08/12,2023/08/11,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1684547314i/62919409.jpg
2247142,"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,"Highsmith, Patricia",,,,3,W. W. Norton  Company,Paperback,271,2008,1955,2023/08/15,2023/08/15,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1746213953i/2247142.jpg
